artist_name,track_name,genre,tempo,danceability,energy,valence,loudness,acousticness,instrumentalness,liveness,speechiness,id
Radiohead,Everything in Its Right Place,breakbeat,124.004,0.293,0.462,0.0623,-11.412,0.699,0.0444,0.0954,0.0453,31DVVa40JpTudyGDNC1ROW
The Mohawks,The Champ - Original Mix,breakbeat,111.434,0.753,0.819,0.851,-6.485,0.108,0.951,0.123,0.0967,5U2Jfwv0R19vYvI51yf29c
Propellerheads,Take California,breakbeat,119.844,0.75,0.874,0.161,-5.654,0.000298,0.808,0.163,0.0567,3Fg0rqskhXRndJnj63Nzoo
Various Artists,Bird Dance,breakbeat,114.959,0.876,0.956,0.52,-3.83,0.00121,0.919,0.0943,0.126,5jCwszc6QmfeeotVlzzPE0
Lack Of Afro,The Outsider,breakbeat,112.589,0.666,0.836,0.46,-6.561,0.0785,0.538,0.348,0.0817,6MZAfPueIvw0a86iHQOCFw
The Prodigy,Mindfields,breakbeat,120.043,0.663,0.975,0.405,-7.191,0.00781,0.77,0.076,0.0468,305KnbiRHnrhMXTRpfsE2J
Stanton Warriors,Get Up - Original Mix,breakbeat,129.984,0.766,0.774,0.896,-7.952,0.0222,0.0196,0.0957,0.0556,4bdMXcKvjt705kx05H7FSk
Slipmatt,Breaking Free - Original 1994 Slipmatt Mix,breakbeat,156.936,0.58,0.997,0.772,-3.736,0.048,0.932,0.0772,0.0855,7wEMSq7BC5WdEvTB6bk4Ro
Fatboy Slim,Praise You,breakbeat,109.716,0.602,0.892,0.536,-8.639,0.0913,0.318,0.169,0.0487,0LaZvd0GtkBx5b2BxaT3A4
Various Artists,Do The Funky Penguin - Pt. 1,breakbeat,101.495,0.811,0.526,0.91,-10.358,0.0524,0.00265,0.0326,0.0684,4DoFH3rezbOlcXpz68Njxx
Freeland,Intro,breakbeat,131.976,0.581,0.931,0.0475,-4.819,0.0332,0.886,0.244,0.0313,0vNHUrgwUMRaifo2ebqTnP
The Crystal Method,Play For Real (feat. The Heavy) - Dirtyphonics Remix,breakbeat,175.021,0.463,0.705,0.439,-6.072,0.00145,0.00084,0.204,0.0598,5dOuEZZFpUGxR9AT2dDIHE
808 State,One In Ten,breakbeat,133.698,0.727,0.837,0.422,-6.695,0.000874,0.00352,0.131,0.034,55tObCiAoUfL7XUqtnjrs2
The Glitch Mob,We Can Make The World Stop,breakbeat,105.006,0.563,0.836,0.154,-5.891,0.000846,0.5,0.116,0.0357,48n92l7OnLEURhalUBtsl7
Acen,Close Your Eyes Optikonfusion!,breakbeat,142.567,0.642,0.706,0.409,-10.56,0.00257,0.47,0.105,0.0561,378D5s3Wp9oaJHWOfpWicJ
A.Skillz,Gimme the Breaks (feat. Kurtis Blow),breakbeat,114.011,0.765,0.906,0.729,-5.936,0.00283,2.14e-05,0.128,0.0575,1dguyI8CvvXwe9XJFzMQ4A
Def Cut,Stand Up,breakbeat,128.005,0.757,0.742,0.87,-8.131,0.00464,0.771,0.129,0.04,74L6A6LCMFil7akHrN2vuZ
Various Artists,"Heaven and Hell Is on Earth - 7"" Edit",breakbeat,109.455,0.617,0.618,0.448,-11.31,0.0176,1.71e-05,0.217,0.0442,0EJM1ZsAS4IGJCc7peEZuV
Bo Saris,She's On Fire (Calibre Remix),breakbeat,174.021,0.522,0.681,0.0976,-3.969,0.0199,0.692,0.119,0.0362,7AvC05VVmYg6U9QN6S6xFX
Hybrid,Finished Symphony - Original,breakbeat,132.023,0.579,0.758,0.125,-10.079,0.000652,0.818,0.124,0.0406,2yMxwK13uCAAukz1myqVqT
Bassnectar,Bass Head,breakbeat,84.984,0.764,0.678,0.0605,-6.631,0.000997,0.05,0.108,0.177,2EQhNdnP2LT96NnkkKkm0N
High Contrast,Kiss Kiss Bang Bang,breakbeat,173.001,0.521,0.895,0.318,-4.967,0.00019,0.633,0.152,0.0394,19WGviHv5DKhvoqqJmrKRO
Elite Force,Rhythm Rocks The Blue,breakbeat,130.01,0.787,0.548,0.326,-5.306,0.000363,0.846,0.0223,0.0711,0EyCrPEcWL44QKLOnZPt62
Mr. Scruff,Kalimba,breakbeat,119.758,0.863,0.877,0.673,-9.051,0.00906,0.805,0.0831,0.0464,4RZ7Lwj1bivN1payIeOKXp
Empire of the Sun,Alive,breakbeat,119.952,0.522,0.885,0.432,-3.086,0.103,1.25e-06,0.0685,0.0362,0UB1ORB5L02Yb4PtXgLDj1
