artist_name,track_name,genre,tempo,danceability,energy,valence,loudness,acousticness,instrumentalness,liveness,speechiness,id
Bomfunk MC's,Freestyler,breakbeat,163.826,0.822,0.922,0.568,-5.798,0.0291,0.325,0.252,0.0989,47xLbuUdmD03ATrke934S1
Freestylers,Raw As F**k,breakbeat,138.056,0.567,0.973,0.535,-6.065,0.000133,0.889,0.0406,0.0348,3o8aGmXy11ncTw7uYId2DE
M-Beat,Booyaka,breakbeat,151.058,0.705,0.757,0.723,-14.17,0.00443,0.596,0.0806,0.0536,4mshYsCx6R9lnsBx9yuY1n
Young-Holt Unlimited,Rubber Lips,breakbeat,104.819,0.665,0.72,0.947,-9.756,0.489,0.828,0.0937,0.0531,1poUFUckPAYTrArlnXL2Uc
Love,Doggone,breakbeat,106.785,0.456,0.92,0.298,-11.893,0.438,0.629,0.0857,0.0792,280rPVWqUcN4NGSwbD3NI9
Various Artists,Sho-Nuff Mellow,breakbeat,119.584,0.546,0.699,0.457,-11.896,0.655,0.579,0.0721,0.0727,0RCtO5nzPUP1VYCqq76zZ2
Goldie,Timeless,breakbeat,154.962,0.514,0.675,0.0812,-10.966,0.00426,0.267,0.105,0.0801,7q85l1IotccRFlv3GgsvEU
Hyper,We Control,breakbeat,133.014,0.562,0.819,0.476,-6.674,4.13e-05,0.118,0.433,0.0432,7iNN6Mv9iW9eRnaG0srOFh
M-Beat,Sweet Love (feat. Nazlyn),breakbeat,165.937,0.609,0.694,0.3,-16.479,0.154,0.0024,0.216,0.101,7ytsduH0NV4RpEsvqkwTkH
The Crystal Method,Starting Over,breakbeat,128.003,0.663,0.948,0.191,-7.14,0.318,0.739,0.104,0.0472,1XqsWYZYAdclIFkpFbfUGS
The Headhunters,God Make Me Funky,breakbeat,96.98,0.615,0.841,0.847,-7.671,0.226,0.178,0.0553,0.136,1Hd1LiHrVX7lWEXiZZQZgY
Krafty Kuts,Stitch - Basskleph Mix,breakbeat,129.997,0.789,0.997,0.667,-4.812,0.00741,0.833,0.172,0.0747,3pqbP5J4dKMv18XDePyP4E
Various Artists,Mystic Brew,breakbeat,114.196,0.63,0.442,0.607,-12.273,0.567,0.832,0.535,0.0267,7jhHtBvrNNdVixB7EYO1aE
Various Artists,Don't Sleep (I Do That),breakbeat,104.852,0.742,0.72,0.725,-8.055,0.0282,0.0,0.146,0.206,46dxDnzdQ4HePay3ncYVGF
Dub Phizix,Never Been,breakbeat,115.977,0.582,0.538,0.257,-9.431,0.0721,0.0598,0.102,0.332,4Xi7rFOjrH43p3A3qNu3TD
The Prodigy,3 Kilos,breakbeat,119.002,0.696,0.834,0.841,-10.441,0.0828,0.643,0.371,0.0389,6eYnJnb31jiNbEZHqwlIsP
Lack Of Afro,When The Sun Goes Down,breakbeat,74.883,0.577,0.976,0.817,-4.411,0.442,0.601,0.101,0.185,2Gh4o2uDzEzEtvsmRe11tM
Noisia,Could This Be - Original MIx,breakbeat,85.978,0.556,0.901,0.0674,-4.867,0.00167,0.784,0.138,0.0466,1mqCQ2dzmbGPP45HFrMwC4
Fusik,"Fusik for the Bboys, Pt. II",breakbeat,125.517,0.503,0.718,0.612,-10.956,0.0242,0.864,0.31,0.0474,226Yan8AY9FB1r6EBeoxQo
RJD2,Ghostwriter,breakbeat,93.804,0.747,0.68,0.594,-6.187,0.0107,0.803,0.0964,0.0346,5Nn2Dj7OQsGL6pgQ9iIzPp
Young-Holt Unlimited,Wah Wah Man,breakbeat,90.345,0.688,0.47,0.703,-14.533,0.867,0.699,0.349,0.0589,3K7rANCAEKSzjfUGAU7VMi
Bladerunner,The Chopper - Bladerunner Remix,breakbeat,174.022,0.542,0.971,0.0622,-6.898,3.72e-06,0.86,0.333,0.0525,5chjDGGXXVLgYMstFC5e6q
Mage,Easy Move,breakbeat,172.006,0.548,0.991,0.325,-3.483,0.00142,0.773,0.0756,0.0955,7qExU976wfNFxtBjSmiEYa
Chinese Man,I've got that tune,breakbeat,90.119,0.775,0.785,0.81,-5.563,0.385,0.824,0.645,0.0434,6ZOeDXutLpSGqA1sSL6LrL
Various Artists,A Trip To Trumpton,breakbeat,139.932,0.635,0.918,0.809,-6.81,0.00437,0.285,0.221,0.0442,3pxGMD0kIX25alO1EVFvdG
Various Artists,"Don't Call Me Nigger, Whitey",breakbeat,183.978,0.602,0.921,0.512,-11.03,0.359,0.000144,0.101,0.127,56r13tQH07EPshIRvW9eXy
The Prodigy,Jericho,breakbeat,140.033,0.608,0.81,0.392,-11.15,1.46e-05,0.764,0.32,0.0481,3BMvkFBakQKH7eyCTOceKx
Far Too Loud,Firestorm,breakbeat,128.033,0.62,0.933,0.53,-3.925,0.00217,0.391,0.0939,0.411,1F5FMFUrNuWh4bBGZL60Mi
Bo Saris,She's On Fire (Calibre Remix),breakbeat,174.021,0.522,0.681,0.0976,-3.969,0.0199,0.692,0.119,0.0362,7AvC05VVmYg6U9QN6S6xFX
Plump DJs,Tilt,breakbeat,109.029,0.73,0.82,0.372,-8.086,0.00192,0.856,0.105,0.0475,5MomjGgGkxqYwyX7cRq8TC
Various Artists,Do The Funky Penguin - Pt. 1,breakbeat,101.495,0.811,0.526,0.91,-10.358,0.0524,0.00265,0.0326,0.0684,4DoFH3rezbOlcXpz68Njxx
The Prodigy,Skylined,breakbeat,140.019,0.613,0.973,0.106,-11.366,0.0324,0.789,0.428,0.0797,1a4lqhDyfqpWwsebZpE0X4
Various Artists,Black,breakbeat,170.506,0.497,0.525,0.73,-19.377,0.0437,0.852,0.0825,0.0644,1coVYNGePes93pMMbkA2lS
Incredible Bongo Band,In-A-Gadda-Da-Vida,breakbeat,115.748,0.554,0.783,0.555,-8.381,0.00913,0.908,0.2,0.0404,6RTTygAPtjANZ3d0VlIPcy
