artist_name,track_name,genre,tempo,danceability,energy,valence,loudness,acousticness,instrumentalness,liveness,speechiness,id
The Chemical Brothers,Get Up On It Like This,breakbeat,130.153,0.473,0.998,0.522,-2.726,0.0775,0.653,0.28,0.108,2GPrWPPHrjw1aK6vOVcNXs
Various Artists,I Believe In Miracles,breakbeat,107.689,0.583,0.934,0.844,-7.096,0.0547,0.0,0.24,0.134,79mZSTSE5m9OGGAFNTURAx
Young-Holt Unlimited,Wah Wah Man,breakbeat,90.345,0.688,0.47,0.703,-14.533,0.867,0.699,0.349,0.0589,3K7rANCAEKSzjfUGAU7VMi
Various Artists,Giorgio Maurader,breakbeat,132.979,0.659,0.835,0.24,-7.236,0.00067,0.883,0.117,0.041,5VLPmRK82MufxLszWyFavA
Jackal and Hyde,This Is The Sound Of Underground,breakbeat,135.988,0.638,0.769,0.296,-8.392,0.00132,0.736,0.112,0.0545,0IBCIxnKzdSL146QYJUeFq
Sharon Jones & The Dap-Kings,Ain't It Hard,breakbeat,114.161,0.676,0.907,0.911,-5.717,0.3,0.0476,0.0492,0.0655,0MG9pClXiPbTIXsiVeoyJA
Bobbi Humphrey,Jasper Country Man,breakbeat,98.597,0.752,0.601,0.849,-13.935,0.101,0.486,0.0695,0.0586,6hMfarC8IWRoXWvJUsEeCj
Beastie Boys,Ch-Check It Out,breakbeat,115.062,0.795,0.899,0.694,-7.02,0.0766,0.0,0.0852,0.292,56H98l4uinRifnTH8e308N
C2C,The Cell,breakbeat,162.03,0.49,0.891,0.409,-6.787,0.000845,0.915,0.103,0.12,050m8TNhlPML0Kd6naOBlf
LTJ Bukem,Demons Theme,breakbeat,144.995,0.498,0.981,0.506,-8.238,0.00184,0.856,0.0597,0.0551,3Roj2iFJVuwXadetIvCx4s
2Pac,California Love,breakbeat,91.647,0.658,0.87,0.791,-3.019,0.0275,0.0,0.656,0.0955,1TdfRFmp4z1h2ecflxCaV3
Zomby,As Darkness Falls,breakbeat,135.059,0.783,0.744,0.384,-6.138,0.0266,0.565,0.0796,0.0901,24ocuu1BERspTeXzJYJ1pX
The Chemical Brothers,One Too Many Mornings,breakbeat,171.827,0.62,0.558,0.539,-11.422,0.171,0.916,0.157,0.0407,0lOzGDHcPlUB1ZvXMWQ0Oh
Justice,Genesis,breakbeat,117.13,0.712,0.788,0.289,-5.122,0.0202,0.329,0.0978,0.362,2W29TNaSCiolWbPfQNgNOW
The Crystal Method,Acetone,breakbeat,119.982,0.622,0.897,0.222,-7.076,0.000304,0.929,0.139,0.0425,2EK2Saeozbr20qrO1JmUzv
Commodores,The Assembly Line,breakbeat,108.415,0.458,0.77,0.355,-7.629,0.403,0.00418,0.079,0.0497,1UFxdADDK4BgL9mdi4TWi6
Elite Force,Rhythm Rocks The Blue,breakbeat,130.01,0.787,0.548,0.326,-5.306,0.000363,0.846,0.0223,0.0711,0EyCrPEcWL44QKLOnZPt62
Various Artists,Runnin',breakbeat,94.093,0.752,0.793,0.874,-7.824,0.0437,0.00252,0.333,0.156,5pFXepfAbXlLUm5vBZXXXW
Isaac Hayes,Breakthrough,breakbeat,171.907,0.492,0.814,0.968,-8.807,0.0386,0.72,0.242,0.0481,3bCMcaNvkaQz8Tetrn0hls
Krafty Kuts,Get Blahsted - Mashup Mix,breakbeat,129.98,0.718,0.964,0.669,-5.368,0.000467,0.298,0.671,0.1,3GZtiTpvh8Z4PVntIrf5li
