artist_name,track_name,genre,tempo,danceability,energy,valence,id
Bladerunner,The Chopper - Bladerunner Remix,breakbeat,174.022,0.542,0.971,0.0622,5chjDGGXXVLgYMstFC5e6q
The Crystal Method,Name Of The Game,breakbeat,181.957,0.522,0.933,0.679,4XKEVz0X1BIDhCAfb782tm
Eskmo,Cloudlight,breakbeat,139.882,0.423,0.485,0.259,6TZHtS4pLhJhSEfyV7bmyj
Various Artists,Age Of Love - Watch Out For Stella Mix,breakbeat,126.907,0.697,0.75,0.272,0zpIxjD0QJnJLUJ8Ki0zgZ
Kool & The Gang,Breeze & Soul,breakbeat,88.029,0.528,0.495,0.363,3yxErxysyoTMRCMh4kP5No
Mage,Easy Move,breakbeat,172.006,0.548,0.991,0.325,7qExU976wfNFxtBjSmiEYa
Jackal and Hyde,This Is The Sound Of Underground,breakbeat,135.988,0.638,0.769,0.296,0IBCIxnKzdSL146QYJUeFq
Freestylers,Security (Ctrl Z Remix),breakbeat,134.989,0.544,0.938,0.524,7cyEaD5XgaAG7ZmjKmWS6G
Krafty Kuts,Against The Grain - Continuous Mix,breakbeat,130.002,0.722,0.947,0.501,2ki1y7wv2KzN92DXxdUOO5
Kraddy,Android Porn,breakbeat,94.91,0.428,0.535,0.318,2Vh4X3dkYbTF8hOd1j0kAg
The Prodigy,Your Love (Remix),breakbeat,147.094,0.657,0.82,0.616,4axNug8UrlC0ndpSNhe5iF
DJ Icey,Dreams,breakbeat,135.015,0.729,0.634,0.324,7dLemiDFrozh4GIrRcYkQv
Agent K,Infectious - Distortionz Vip Mix,breakbeat,136.025,0.606,0.944,0.666,3RCx7kqO8pM7Xs68IRjYgT
Various Artists,Music Is My Life,breakbeat,126.994,0.671,0.928,0.831,10TEiwkiKzgeLhgT84hD0s
C2C,Because Of You,breakbeat,130.029,0.697,0.768,0.837,3XOEuZcwfW4l7fttcB7zB6
Plump DJs,Morning Sun,breakbeat,102.064,0.679,0.703,0.234,5Boovfc9XolSKExXapeWoQ
Various Artists,The Breaks 2020,breakbeat,117.009,0.713,0.923,0.81,66Z5YWydHwTLbK8vAxbUgO
