artist_name,track_name,genre,tempo,danceability,energy,valence,id
Agent K,Bug,breakbeat,136.016,0.58,0.962,0.682,0bbvFKqow13LQyMjZX8GCz
Gramatik,Lonely & Cold,breakbeat,191.86,0.626,0.617,0.425,6KmktQvdt2AXZjCd8zay5J
Eric B. & Rakim,Don't Sweat The Technique,breakbeat,105.848,0.737,0.89,0.809,48ZUwXrEOhaXLCxvmRYhZv
The Prodigy,3 Kilos,breakbeat,119.002,0.696,0.834,0.841,6eYnJnb31jiNbEZHqwlIsP
The Chemical Brothers,Setting Sun,breakbeat,135.065,0.445,0.995,0.229,3Bjx94921MJ0DvjQQ9KVpK
Various Artists,Elektro - Quadrat Beat Remix,breakbeat,135.005,0.695,0.852,0.802,1Y2OsVF1Ua2uXHOBUYVjGR
Technimatic,Chasing a Dream,breakbeat,173.999,0.582,0.792,0.0782,0MyfqfmpEY86RHeUbEsHZ9
Plump DJs,Mantra,breakbeat,136.047,0.747,0.817,0.621,5xQlNmUGIhhwX9y3DaPHlr
Freestylers,Painkiller,breakbeat,174.998,0.535,0.883,0.459,7kS4KQ82e0bDHwc5yOpPWU
Adam Freeland,HATE,breakbeat,135.0,0.777,0.65,0.0229,4ELVL0EpjuTeAhztC8MDwj
Mr. Scruff,Get A Move On!,breakbeat,123.324,0.76,0.767,0.816,3AgEOAo3dvkjtsBmeTGRjg
Bladerunner,The Chopper - Bladerunner Remix,breakbeat,174.022,0.542,0.971,0.0622,5chjDGGXXVLgYMstFC5e6q
C2C,The Beat,breakbeat,96.978,0.798,0.778,0.624,5KTZsi6HKh2laUVsgaU3ag
Various Artists,Stompbox - Edit,breakbeat,150.002,0.538,0.947,0.655,4m7RdQHuVbvqcAWwz8pBFJ
Various Artists,Hold On - Sub Focus Remix,breakbeat,173.995,0.377,0.931,0.0393,5Muk08hnvAKtf0MDHqIq5j
Far Too Loud,Firestorm,breakbeat,128.033,0.62,0.933,0.53,1F5FMFUrNuWh4bBGZL60Mi
Various Artists,The Bouncer - Housequake Mix,breakbeat,135.89,0.792,0.905,0.12,6OlygUNPF9IhPo7Zhri6sU
The Prodigy,No Good (Start the Dance),breakbeat,145.001,0.645,0.984,0.175,4kcBLVepesflQP345wKVeq
Altern 8,Activ-8,breakbeat,129.853,0.755,0.735,0.534,05W3Ex37TBb3CYSg0VbzFQ
Cut Chemist,The Garden,breakbeat,101.789,0.727,0.831,0.693,1dPZC3LbZjsYZmVPSnuwKp
House Of Pain,Jump Around,breakbeat,106.894,0.854,0.71,0.818,2oTDOIAdsxPTE7yAp4YOcv
Various Artists,Basketball Jam,breakbeat,134.968,0.722,0.966,0.723,56p0rhDZmbuQ20JGAD4Coi
Various Artists,Hot Pants... I'm Coming I'm Coming,breakbeat,112.023,0.802,0.742,0.897,1W9qOaMlBUWclH1WOu57X0
Dub Phizix,Never Been,breakbeat,115.977,0.582,0.538,0.257,4Xi7rFOjrH43p3A3qNu3TD
Agent K,This World,breakbeat,135.999,0.546,0.987,0.486,1rK7atfz0RHTm5vMgHdUTX
