artist_name,track_name,genre,tempo,danceability,energy,valence,loudness,acousticness,instrumentalness,liveness,speechiness,id
Various Artists,Giorgio Maurader,breakbeat,132.979,0.659,0.835,0.24,-7.236,0.00067,0.883,0.117,0.041,5VLPmRK82MufxLszWyFavA
Various Artists,Original Bad Boy,breakbeat,158.464,0.638,0.929,0.519,-6.374,0.00759,0.106,0.0461,0.0751,7d3hYSEX76wryM95oAd8cz
Plump DJs,Funk Hits The Fan,breakbeat,132.046,0.723,0.978,0.731,-5.526,0.0501,0.303,0.272,0.062,2lpjGyyLCwRrqoeeHAfWMv
The Herbaliser,A Mother (For Your Mind),breakbeat,166.021,0.66,0.303,0.249,-15.589,0.00971,0.892,0.146,0.065,5AenLCL5tkvwas8y8A0IU3
C2C,Give Up The Ghost,breakbeat,75.018,0.581,0.564,0.453,-6.829,0.304,0.0312,0.0943,0.0988,6BuFwyvWwc6UMxocmbf2wI
Young-Holt Unlimited,Rubber Lips,breakbeat,104.819,0.665,0.72,0.947,-9.756,0.489,0.828,0.0937,0.0531,1poUFUckPAYTrArlnXL2Uc
The Prodigy,You'll Be UNDER MY WHEELS,breakbeat,114.017,0.673,0.94,0.358,-5.175,0.0129,0.88,0.318,0.081,0fn0dV9Y45qkn7BdOOwX4x
Aretha Franklin,Rock Steady,breakbeat,104.641,0.747,0.779,0.88,-9.851,0.0134,0.0992,0.285,0.134,6zttKhN0rUFfAOzn4HctNU
The Chemical Brothers,Galvanize,breakbeat,104.003,0.745,0.714,0.365,-3.681,0.0141,0.0222,0.363,0.0751,4bz7uB4edifWKJXSDxwHcs
Fatboy Slim,Acid 8000,breakbeat,129.639,0.559,0.968,0.194,-10.962,0.164,0.749,0.607,0.0834,2oCYH1y2kyvgfwBzJqebxd
Various Artists,Crossover,breakbeat,172.011,0.701,0.938,0.518,-5.446,0.0012,0.567,0.372,0.109,5iXsr2NMr0EnWobhvuCMxI
Atomic Rooster,The Rock,breakbeat,144.615,0.68,0.682,0.936,-7.6,0.00348,0.887,0.104,0.0401,3E4eTMUEcbYfo5haDJfG1C
