artist_name,track_name,genre,tempo,danceability,energy,valence,loudness,acousticness,instrumentalness,liveness,speechiness,id
Eskmo,Cloudlight,breakbeat,139.882,0.423,0.485,0.259,-6.922,0.0817,2.58e-05,0.144,0.145,6TZHtS4pLhJhSEfyV7bmyj
Blue Foundation,Eyes on Fire,breakbeat,145.025,0.544,0.383,0.367,-10.143,0.67,0.00204,0.125,0.0334,4w3zR0z2oqv8ijhOkTnRvT
Stanton Warriors,Get Up - Original Mix,breakbeat,129.984,0.766,0.774,0.896,-7.952,0.0222,0.0196,0.0957,0.0556,4bdMXcKvjt705kx05H7FSk
Plump DJs,Tilt,breakbeat,109.029,0.73,0.82,0.372,-8.086,0.00192,0.856,0.105,0.0475,5MomjGgGkxqYwyX7cRq8TC
Agent K,Good To Go,breakbeat,135.993,0.619,0.935,0.397,-8.994,0.000546,0.76,0.4,0.0453,42iBqLosPxTVZDTWkdQRpt
2Pac,California Love,breakbeat,91.647,0.658,0.87,0.791,-3.019,0.0275,0.0,0.656,0.0955,1TdfRFmp4z1h2ecflxCaV3
Billy Squier,The Big Beat,breakbeat,101.972,0.563,0.838,0.61,-5.188,0.0274,0.0105,0.105,0.0687,7kXUexrHEDUhNLSZtzKJsU
Hyper,We Control,breakbeat,133.014,0.562,0.819,0.476,-6.674,4.13e-05,0.118,0.433,0.0432,7iNN6Mv9iW9eRnaG0srOFh
DJ Cam,Summer In Paris (Starring Anggun),breakbeat,128.965,0.613,0.574,0.914,-10.298,0.228,0.78,0.0745,0.0347,7px61lxh8BRZYvUviDNtYA
The Prodigy,Omen,breakbeat,140.021,0.553,0.954,0.529,-5.166,0.000967,0.119,0.28,0.045,156oozyC0SdsnMrNnvMQQ1
Eric Berretta,"Future Sound Of Breaks Volume 2.0 - Continuous Mix - Feat. DJ Icey, Krafty Kuts, Deekline and Ed Solo, Hyde, Hydraulix",breakbeat,136.035,0.728,0.692,0.246,-12.064,0.000915,0.486,0.15,0.0551,1RADWAGoZRJod22HVKahvC
Various Artists,The Bouncer - Housequake Mix,breakbeat,135.89,0.792,0.905,0.12,-6.637,0.0174,0.56,0.732,0.0815,6OlygUNPF9IhPo7Zhri6sU
Cut Chemist,The Garden,breakbeat,101.789,0.727,0.831,0.693,-5.553,0.0535,0.132,0.0566,0.0371,1dPZC3LbZjsYZmVPSnuwKp
NERO,Promises,breakbeat,144.003,0.488,0.942,0.364,-4.304,5.39e-05,0.00286,0.373,0.065,1kjvBYbo5SgzDVn42c1SuF
Utah Saints,Something Good,breakbeat,126.86,0.53,0.95,0.507,-10.553,0.000517,0.821,0.13,0.0423,1ufw4MHpNrimD5e6pna6JA
Ed:it & Pennygiles,Set Theory,breakbeat,171.996,0.603,0.992,0.259,-3.285,0.000645,0.862,0.186,0.0869,76yoFlgbYioOYbYqTHEH3K
Bladerunner,The Chopper - Bladerunner Remix,breakbeat,174.022,0.542,0.971,0.0622,-6.898,3.72e-06,0.86,0.333,0.0525,5chjDGGXXVLgYMstFC5e6q
Way Out West,Don't Forget Me,breakbeat,105.247,0.382,0.686,0.103,-8.46,0.173,0.00193,0.109,0.0484,6vSmbrcdlXDEkQ8VAHK4Nl
Don Henley,The Boys Of Summer,breakbeat,177.399,0.516,0.776,0.859,-6.409,0.399,0.00128,0.21,0.0412,7KY40pRBPKQSaSe0j5nKUK
Agent K,Black Haze - Aquasky Mix,breakbeat,136.029,0.574,0.871,0.426,-8.271,9.9e-05,0.492,0.173,0.032,2DBPnhDQcmB73ZRSf3fPY8
Skrillex,Scary Monsters and Nice Sprites,breakbeat,139.997,0.523,0.944,0.324,-3.581,0.00336,0.557,0.119,0.0837,4rwpZEcnalkuhPyGkEdhu0
Facing Jinx,Perfect Secret,breakbeat,174.985,0.652,0.917,0.133,-4.919,0.000165,0.893,0.0995,0.0623,02CPZ6zrZETvdbnJs5z7xB
Various Artists,Timelines,breakbeat,164.987,0.544,0.766,0.0399,-6.991,0.0126,0.722,0.12,0.0504,6boimJ59xTe6pzHnw4wlgt
Tipper,Tepid Bile,breakbeat,78.01,0.685,0.8,0.322,-6.588,0.171,0.958,0.602,0.0649,5mJNTfscRawGNf2f3B1cSF
Freestylers,Raw As F**k,breakbeat,138.056,0.567,0.973,0.535,-6.065,0.000133,0.889,0.0406,0.0348,3o8aGmXy11ncTw7uYId2DE
Various Artists,Orange Peel,breakbeat,123.652,0.72,0.425,0.917,-13.552,0.841,0.769,0.104,0.0474,5CoDgxJsXRP6o0Dxas8DCk
Head Automatica,Brooklyn Is Burning,breakbeat,119.045,0.753,0.952,0.591,-3.919,0.0109,0.0,0.126,0.079,0pufN3jW0d6cQK9R9wtiKo
Blowfly,Sesame Street,breakbeat,119.254,0.813,0.712,0.61,-13.031,0.455,0.000421,0.14,0.169,2PDUK1RDiX0McDLGburc1B
RJD2,The Horror,breakbeat,95.042,0.558,0.894,0.386,-1.334,0.0149,0.845,0.182,0.0934,7G4U7IDXXPz1PFlKpfDGoZ
Young-Holt Unlimited,Rubber Lips,breakbeat,104.819,0.665,0.72,0.947,-9.756,0.489,0.828,0.0937,0.0531,1poUFUckPAYTrArlnXL2Uc
Jubei,Say Nothin - Extended Mix,breakbeat,172.049,0.749,0.789,0.347,-4.696,0.000146,0.361,0.586,0.151,2JtJOqT5Vw7ynW54RQGeMp
The Prodigy,Wind It Up,breakbeat,144.998,0.567,0.86,0.736,-11.301,0.000945,0.576,0.0793,0.0454,6pgAhjhOdN8jRRdTdKr0vr
Pete Rock & C.L. Smooth,The Creator,breakbeat,115.998,0.826,0.491,0.617,-11.264,0.21,0.0729,0.0929,0.165,0vDgtmc5vMDyE69oYnAbUm
Grant Green,Ain't It Funky Now - Remastered,breakbeat,99.257,0.727,0.825,0.758,-10.866,0.796,0.495,0.098,0.0464,1I2q0M5t1BWnw0BqP7hHDc
Various Artists,Cramp Your Style,breakbeat,113.604,0.784,0.885,0.777,-7.271,0.0815,0.0064,0.102,0.0674,5dothA2CJsYxayUlAiZ8CS
Gramatik,Hit That Jive,breakbeat,99.995,0.896,0.684,0.686,-6.099,0.0461,0.051,0.164,0.0731,02uRToy7bttYcKCO3vIStA
Freeland,Intro,breakbeat,131.976,0.581,0.931,0.0475,-4.819,0.0332,0.886,0.244,0.0313,0vNHUrgwUMRaifo2ebqTnP
Jackal and Hyde,This Is The Sound Of Underground,breakbeat,135.988,0.638,0.769,0.296,-8.392,0.00132,0.736,0.112,0.0545,0IBCIxnKzdSL146QYJUeFq
The Chemical Brothers,Elektrobank,breakbeat,167.308,0.289,0.854,0.604,-4.618,0.00191,0.729,0.52,0.157,7M8sOro6vmhw4gts6orQ3e
Fluke,Absurd,breakbeat,125.047,0.543,0.96,0.422,-8.666,0.00118,0.481,0.606,0.0479,5C7rx6gH1kKZqDUxEI6n4l
BreakBeatBuddha,Mind Check,breakbeat,102.024,0.596,0.825,0.206,-7.852,0.00017,0.813,0.213,0.0445,06LUh1ViKE5iTcf22Kea6B
Various Artists,Shack Up,breakbeat,111.547,0.902,0.624,0.961,-9.325,0.0949,0.713,0.0594,0.0604,6jF8x34bwzw1NrMxFQ5LOL
LPR,Watching You - Marco Lys Remix,breakbeat,124.993,0.765,0.838,0.583,-5.533,0.00522,0.775,0.0767,0.06,1ECWA9YjLC2vcErYZu2kYX
The Future Sound Of London,"Translation 1: 12"" Original",breakbeat,125.021,0.601,0.906,0.791,-7.129,0.000276,0.0548,0.434,0.0485,5EF1yFdFSvq4ArlTFnJWrX
The Prodigy,Charly (Trip into Drum and Bass Version),breakbeat,145.035,0.645,0.747,0.45,-11.101,0.00015,0.641,0.112,0.0458,3SLwd9mCQgxN0EU1sSYhWx
Colombo,Ska Punch - Original Mix,breakbeat,134.001,0.885,0.645,0.794,-5.693,0.000534,0.00861,0.0515,0.132,1MbarPuZfaWLUWtCpLDJ7p
Freestylers,Boom Blast,breakbeat,138.026,0.782,0.943,0.644,-6.771,0.00217,0.0,0.0815,0.138,2FHxgk1Eb12jFR0ZM0P2t9
Atomic Rooster,The Rock,breakbeat,144.615,0.68,0.682,0.936,-7.6,0.00348,0.887,0.104,0.0401,3E4eTMUEcbYfo5haDJfG1C
ill.gates,Pharma Sutra - Jacky Murda Remix,breakbeat,117.293,0.4,0.941,0.409,-3.072,0.000173,0.917,0.315,0.0688,27ha14JWTXTIyYIjGLy02X
Various Artists,Black,breakbeat,170.506,0.497,0.525,0.73,-19.377,0.0437,0.852,0.0825,0.0644,1coVYNGePes93pMMbkA2lS
DJ Marky,LK,breakbeat,174.006,0.655,0.936,0.965,-6.455,0.0116,0.293,0.209,0.0628,1fIZzCIwKKGBRDkLA8VukW
The Prodigy,Invaders Must Die,breakbeat,140.035,0.6,0.9,0.0993,-5.171,0.000514,0.902,0.111,0.0541,6FmSCambSeWTMvWSUco4EO
The Bar-Kays,Holy Ghost,breakbeat,103.801,0.753,0.749,0.766,-13.935,0.185,0.444,0.0702,0.0506,09yXj1tSMCdXigghmL3b2S
The Chemical Brothers,Piku,breakbeat,103.017,0.403,0.743,0.169,-4.812,7.01e-05,0.416,0.116,0.054,7ezR8vOZY1z6IWnUFm0otL
LTJ Bukem,Demons Theme,breakbeat,144.995,0.498,0.981,0.506,-8.238,0.00184,0.856,0.0597,0.0551,3Roj2iFJVuwXadetIvCx4s
KC & The Sunshine Band,I Get Lifted,breakbeat,106.182,0.825,0.649,0.921,-8.913,0.00186,0.000885,0.049,0.0444,3ntu2NJd9xFN8lPXa9Gzh1
Krafty Kuts,Get Blahsted - Mashup Mix,breakbeat,129.98,0.718,0.964,0.669,-5.368,0.000467,0.298,0.671,0.1,3GZtiTpvh8Z4PVntIrf5li
The Roots,Don't Say Nuthin',breakbeat,197.964,0.719,0.734,0.826,-5.749,0.0667,0.000459,0.0888,0.302,0IArC8ul3nJXK4onXWPh1i
The Chemical Brothers,Galvanize,breakbeat,104.003,0.745,0.714,0.365,-3.681,0.0141,0.0222,0.363,0.0751,4bz7uB4edifWKJXSDxwHcs
DJ Baby Anne,Mixtress - Future Funk Squad Remix,breakbeat,133.992,0.62,0.943,0.534,-8.054,9.73e-05,0.778,0.405,0.0621,0YwYMBCBY3HWrCnWE5t7Bo
Various Artists,Que Sera,breakbeat,83.004,0.717,0.721,0.401,-5.059,0.243,0.272,0.205,0.0811,5WgOELT1kPGBVCHVHvzIHS
A Tribe Called Quest,Footprints,breakbeat,100.056,0.831,0.581,0.689,-12.265,0.0409,1.45e-06,0.321,0.173,6DfWtSeGNVshAwIKydhWua
Moloko,The Time is Now,breakbeat,127.984,0.708,0.716,0.687,-10.163,0.446,0.00265,0.0894,0.108,5UAbuLFYzS69nQRav9EwJq
The House Crew,Superhero,breakbeat,159.947,0.714,0.667,0.59,-13.002,0.01,0.758,0.5,0.15,5oXptHGvzOQLU3qVR37mTe
Various Artists,"Heaven and Hell Is on Earth - 7"" Edit",breakbeat,109.455,0.617,0.618,0.448,-11.31,0.0176,1.71e-05,0.217,0.0442,0EJM1ZsAS4IGJCc7peEZuV
BreakBeatBuddha,The Wrecka Track,breakbeat,106.991,0.737,0.931,0.674,-7.966,0.000968,0.0773,0.196,0.0916,6v6pInY5tGo42cewl8fKf8
The Herbaliser,A Mother (For Your Mind),breakbeat,166.021,0.66,0.303,0.249,-15.589,0.00971,0.892,0.146,0.065,5AenLCL5tkvwas8y8A0IU3
The Prodigy,Fire (Sunrise Version),breakbeat,140.031,0.748,0.697,0.96,-11.363,0.0186,0.00318,0.0946,0.0541,4e081v84DUXLS7AceAD9c9
Lenzman,Open Page,breakbeat,171.052,0.587,0.749,0.252,-4.752,0.00028,0.853,0.0639,0.0424,5XzUaIW5Rd6ItEfDPH26qN
Various Artists,I Refuse - Shockone Remix,breakbeat,175.002,0.494,0.937,0.372,-3.204,0.000297,0.924,0.358,0.0571,1n2VdeLKjE1ZyW4Yw3W8PN
Various Artists,Bird Dance,breakbeat,114.959,0.876,0.956,0.52,-3.83,0.00121,0.919,0.0943,0.126,5jCwszc6QmfeeotVlzzPE0
The Mohawks,The Champ - Original Mix,breakbeat,111.434,0.753,0.819,0.851,-6.485,0.108,0.951,0.123,0.0967,5U2Jfwv0R19vYvI51yf29c
The Chemical Brothers,Alive Alone,breakbeat,79.99,0.458,0.56,0.092,-8.942,0.00292,0.00144,0.136,0.0288,6dgFhHtleZmYABhqiX8MKV
Chase & Status,End Credits,breakbeat,116.73,0.327,0.813,0.0678,-4.769,0.0105,0.0139,0.101,0.0335,5AMxVSn63Yi3UCO2njlvvW
Freestylers,Painkiller,breakbeat,174.998,0.535,0.883,0.459,-5.477,0.00134,6.47e-05,0.394,0.0676,7kS4KQ82e0bDHwc5yOpPWU
The Meters,Look-Ka Py Py,breakbeat,174.466,0.677,0.822,0.929,-12.367,0.112,0.306,0.44,0.0847,0TwWRCufcJ2JVNoy3Sbxq9
Bobbi Humphrey,Please Set Me At Ease,breakbeat,70.117,0.343,0.299,0.322,-17.572,0.921,0.218,0.0944,0.0584,5emxS2ghZWuPnRFOe10vdq
Bo Saris,She's On Fire (Calibre Remix),breakbeat,174.021,0.522,0.681,0.0976,-3.969,0.0199,0.692,0.119,0.0362,7AvC05VVmYg6U9QN6S6xFX
The Prodigy,Jericho,breakbeat,140.033,0.608,0.81,0.392,-11.15,1.46e-05,0.764,0.32,0.0481,3BMvkFBakQKH7eyCTOceKx
Ron Santos,We Love It,breakbeat,170.032,0.616,0.955,0.965,-8.245,0.00016,0.88,0.977,0.0514,6SEEYiCYzJVPrAXYiZMlZo
Bill Withers,Kissing My Love,breakbeat,93.7,0.827,0.603,0.923,-11.431,0.392,0.000405,0.0711,0.174,1UuwaTzUO6RqLUrtiUP7Kd
SL2,Way in My Brain,breakbeat,134.012,0.676,0.927,0.748,-6.899,0.0367,0.133,0.0915,0.0432,4pN4ly00wV7WSEGyNdGGr7
Jeremy Steig,Howlin' For Judy,breakbeat,110.399,0.423,0.602,0.503,-12.352,0.48,0.006,0.107,0.115,72RLba4dZZmjCUtxjj8mFP
Agent K,Infectious - Distortionz Vip Mix,breakbeat,136.025,0.606,0.944,0.666,-8.333,0.00111,0.15,0.416,0.0398,3RCx7kqO8pM7Xs68IRjYgT
Various Artists,Angels Fell,breakbeat,159.831,0.619,0.923,0.366,-5.607,0.0324,0.87,0.0687,0.0955,3IOGAOqhGeaEzGMkmuhTf3
Coin Operated Boy,Trust Me - Clouds Remix,breakbeat,127.981,0.827,0.728,0.246,-5.643,0.00147,0.911,0.173,0.0497,3NoiIDDI1v2UV1srNWtR4r
Various Artists,Giorgio Maurader,breakbeat,132.979,0.659,0.835,0.24,-7.236,0.00067,0.883,0.117,0.041,5VLPmRK82MufxLszWyFavA
The Future Sound Of London,Papua New Guinea,breakbeat,124.87,0.55,0.575,0.371,-14.882,0.00163,0.68,0.133,0.0446,1r1OeKQ1y7Q20A6ekUXtYq
Freestylers,Warrior Charge - Breakfastaz Remix,breakbeat,136.107,0.529,0.931,0.79,-5.875,0.000172,0.639,0.275,0.0339,7bUYCcbJfsPmlSJ91uRZtQ
Bassnectar,Bass Head,breakbeat,84.984,0.764,0.678,0.0605,-6.631,0.000997,0.05,0.108,0.177,2EQhNdnP2LT96NnkkKkm0N
Hooverphonic,Mad About You,breakbeat,170.358,0.465,0.844,0.155,-4.352,0.00109,0.399,0.0865,0.0379,5drK2kTE2mrUdV33iHWyrx
Various Artists,Hold On - Sub Focus Remix,breakbeat,173.995,0.377,0.931,0.0393,-4.758,0.00601,0.00845,0.169,0.0397,5Muk08hnvAKtf0MDHqIq5j
Plump DJs,The Push,breakbeat,136.043,0.688,0.989,0.7,-4.371,4.05e-05,0.825,0.878,0.0862,6GO7a7NDTTT8noTZXYn602
Chinese Man,I've got that tune,breakbeat,90.119,0.775,0.785,0.81,-5.563,0.385,0.824,0.645,0.0434,6ZOeDXutLpSGqA1sSL6LrL
Technimatic,Intersection,breakbeat,174.012,0.469,0.886,0.705,-4.134,8.48e-05,0.479,0.218,0.0608,3YL3EgJB3zzUEZJGgVOpCq
House Of Pain,Jump Around,breakbeat,106.894,0.854,0.71,0.818,-6.32,0.0113,8.72e-05,0.166,0.0793,2oTDOIAdsxPTE7yAp4YOcv
Various Artists,The Breaks 2020,breakbeat,117.009,0.713,0.923,0.81,-6.142,0.00375,0.239,0.0565,0.0662,66Z5YWydHwTLbK8vAxbUgO
