artist_name,track_name,genre,tempo,danceability,energy,valence,id
Adam Freeland,Glowsticks,breakbeat,127.982,0.654,0.933,0.625,7hfjXpqNghj9NyZOJH3WPR
The Prodigy,Fire (Sunrise Version),breakbeat,140.031,0.748,0.697,0.96,4e081v84DUXLS7AceAD9c9
M-Beat,Booyaka,breakbeat,151.058,0.705,0.757,0.723,4mshYsCx6R9lnsBx9yuY1n
Stanton Warriors,Where's the Beef? - Original Mix,breakbeat,130.015,0.727,0.971,0.177,6TAfw9nYXGFGR82pEQy7KT
Pendulum,Watercolour - Full Version; Single,breakbeat,174.05,0.392,0.925,0.197,6HNGXmc7A14zeeWTj4gzz8
DJ Irene,What Time Is It?,breakbeat,142.487,0.629,0.955,0.522,3UUTqZdNDITLJwCWGLQr0O
Baby D,Let Me Be Your Fantasy,breakbeat,134.977,0.655,0.83,0.282,2dSREGATsajLMuc0QlUWN3
The Chemical Brothers,Alive Alone,breakbeat,79.99,0.458,0.56,0.092,6dgFhHtleZmYABhqiX8MKV
Hooverphonic,Mad About You,breakbeat,170.358,0.465,0.844,0.155,5drK2kTE2mrUdV33iHWyrx
Bobbi Humphrey,Please Set Me At Ease,breakbeat,70.117,0.343,0.299,0.322,5emxS2ghZWuPnRFOe10vdq
Homemade Weapons,The Gauntlet Amen,breakbeat,170.986,0.537,0.931,0.123,1Ex2CrfmuBSl5Cbyz5y1DX
Krafty Kuts,Bring Back The Funk,breakbeat,130.002,0.778,0.802,0.908,22TZDc50UxddcIDB8ypWlu
C2C,Happy,breakbeat,120.014,0.753,0.92,0.549,2ZXWOCdQ2IJ63RBOjuQVR3
Various Artists,Turner Road,breakbeat,175.991,0.514,0.878,0.383,5NE76zgyrBhV6W454cD2dE
Agent K,Black Haze - Aquasky Mix,breakbeat,136.029,0.574,0.871,0.426,2DBPnhDQcmB73ZRSf3fPY8
Hybrid,Disappear Here - Original,breakbeat,128.511,0.608,0.582,0.256,5H6Xz0yLjIrkEGRR8Gu1ET
Blok One & Rainforest,Sighs In the Gloom,breakbeat,80.043,0.693,0.362,0.207,2Z75AHP4rdJT92Lw5NxuKW
Lack Of Afro,The Outsider,breakbeat,112.589,0.666,0.836,0.46,6MZAfPueIvw0a86iHQOCFw
Various Artists,Runnin',breakbeat,94.093,0.752,0.793,0.874,5pFXepfAbXlLUm5vBZXXXW
Herbie Hancock,Cantaloupe Island,breakbeat,116.162,0.485,0.551,0.452,1tckg6GRaTodmxnDd4Cxkl
Far Too Loud,Blackout - Original Mix,breakbeat,135.966,0.514,0.961,0.393,6ErhuqREkGXkw8Ai3htXEG
DJ Baby Anne,Mixtress - Future Funk Squad Remix,breakbeat,133.992,0.62,0.943,0.534,0YwYMBCBY3HWrCnWE5t7Bo
Blok One,On Letting Go,breakbeat,173.071,0.657,0.586,0.639,6YysF3sAiFUoxGChxE8cyK
Billy Squier,The Big Beat,breakbeat,101.972,0.563,0.838,0.61,7kXUexrHEDUhNLSZtzKJsU
Stanton Warriors,Get Up - Original Mix,breakbeat,129.984,0.766,0.774,0.896,4bdMXcKvjt705kx05H7FSk
Evil Nine,We Have The Energy,breakbeat,134.001,0.535,0.914,0.361,24a4e5LP5D2iiY1tRE9v9a
Various Artists,Dun Proppa,breakbeat,103.995,0.651,0.977,0.781,6a5aQlAAdgObJ3KhM9NRZW
