artist_name,track_name,genre,tempo,danceability,energy,valence,id
Various Artists,Dun Proppa,breakbeat,103.995,0.651,0.977,0.781,6a5aQlAAdgObJ3KhM9NRZW
Various Artists,Who's Making Love,breakbeat,102.052,0.709,0.39,0.815,42UHQGcpq8oxAujCQpxGII
The Future Sound Of London,Papua New Guinea,breakbeat,124.87,0.55,0.575,0.371,1r1OeKQ1y7Q20A6ekUXtYq
Various Artists,"Don't Call Me Nigger, Whitey",breakbeat,183.978,0.602,0.921,0.512,56r13tQH07EPshIRvW9eXy
DJ Andy Smith,The Choice Is Yours,breakbeat,101.397,0.879,0.847,0.711,6281LdA2cVFwVM0xC5cqA8
The Chemical Brothers,Fuck Up Beats,breakbeat,122.023,0.717,0.949,0.275,2VY20LS1h4g7NcX5s8wq0Z
2Pac,California Love,breakbeat,91.647,0.658,0.87,0.791,1TdfRFmp4z1h2ecflxCaV3
Blue Foundation,Eyes on Fire,breakbeat,145.025,0.544,0.383,0.367,4w3zR0z2oqv8ijhOkTnRvT
Commodores,The Assembly Line,breakbeat,108.415,0.458,0.77,0.355,1UFxdADDK4BgL9mdi4TWi6
Fatboy Slim,Ya Mama,breakbeat,118.69,0.626,0.991,0.0924,3HUsQTOcdA1g5d8f2YQSRz
Various Artists,Giorgio Maurader,breakbeat,132.979,0.659,0.835,0.24,5VLPmRK82MufxLszWyFavA
Hybrid,Disappear Here - Original,breakbeat,128.511,0.608,0.582,0.256,5H6Xz0yLjIrkEGRR8Gu1ET
Various Artists,Cramp Your Style,breakbeat,113.604,0.784,0.885,0.777,5dothA2CJsYxayUlAiZ8CS
The Breakfastaz,Spit It Out,breakbeat,139.978,0.547,0.976,0.335,0DrqaJsKxKbrHCQL5et4eA
Gramatik,Lonely & Cold,breakbeat,191.86,0.626,0.617,0.425,6KmktQvdt2AXZjCd8zay5J
Various Artists,Zero Tolerance,breakbeat,172.036,0.557,0.976,0.444,0877WZFJjVg3Hj1ZNuNetZ
Lack Of Afro,The Outsider,breakbeat,112.589,0.666,0.836,0.46,6MZAfPueIvw0a86iHQOCFw
Bill Withers,Use Me - Single Version,breakbeat,154.534,0.766,0.661,0.955,0xt3oHUZchlHPhiWXoADM5
The Glitch Mob,We Can Make The World Stop,breakbeat,105.006,0.563,0.836,0.154,48n92l7OnLEURhalUBtsl7
Various Artists,The Breaks 2020,breakbeat,117.009,0.713,0.923,0.81,66Z5YWydHwTLbK8vAxbUgO
Plump DJs,Pray For You,breakbeat,133.348,0.636,0.855,0.885,5TgJDjMrpp8Cu5M6cWruyZ
Southside Movement,I've Been Watching You,breakbeat,94.513,0.54,0.703,0.826,2s740v5LKLYFWcomTSn0Rj
C2C,F.U.Y.A.,breakbeat,128.785,0.643,0.619,0.14,4YG11F0CV02cJEFUH7NUBn
Various Artists,Unwind Yourself,breakbeat,128.725,0.831,0.465,0.823,0d32aUh8S5sa4dYypUKWLh
Bill Withers,Kissing My Love,breakbeat,93.7,0.827,0.603,0.923,1UuwaTzUO6RqLUrtiUP7Kd
Trinidad James,Female$ Welcomed,breakbeat,139.44,0.467,0.604,0.64,0vB2Rfcz6xC5FsCpBqrZZI
Freeland,Intro,breakbeat,131.976,0.581,0.931,0.0475,0vNHUrgwUMRaifo2ebqTnP
Mage,Easy Move,breakbeat,172.006,0.548,0.991,0.325,7qExU976wfNFxtBjSmiEYa
Beastie Boys,Intergalactic - Remastered,breakbeat,105.932,0.734,0.864,0.47,5fpizYGbi5IQoEraj6FP0R
Colombo,Gods - Original Mix,breakbeat,133.969,0.669,0.875,0.138,7ATAWt3qisozEKXY9YqRLx
Agent K,Free The Beast - Breakfastaz Remix,breakbeat,136.032,0.592,0.922,0.45,5Pqx70EDbp6FInTc6stkrF
Bladerunner,The Chopper - Bladerunner Remix,breakbeat,174.022,0.542,0.971,0.0622,5chjDGGXXVLgYMstFC5e6q
Evil Nine,Restless,breakbeat,131.989,0.604,0.876,0.661,7Mk8wKsRMWsHtWAqAmIX5L
The Chemical Brothers,Three Little Birdies Down Beats,breakbeat,121.91,0.67,0.788,0.424,7E89BPSPTtBaR9mKK88WhD
SpectraSoul,Buggin',breakbeat,170.031,0.772,0.578,0.305,2TYxwT9DVKmMxcoVxuikRM
DJ Icey,Grizzle - Vlad & Ardisson Remix,breakbeat,136.012,0.562,0.921,0.232,5gubRxdxDVnzbmHm1rAWsj
Empire of the Sun,Alive,breakbeat,119.952,0.522,0.885,0.432,0UB1ORB5L02Yb4PtXgLDj1
Various Artists,Runnin',breakbeat,94.093,0.752,0.793,0.874,5pFXepfAbXlLUm5vBZXXXW
General Midi,Kickbox,breakbeat,132.009,0.68,0.886,0.838,3LYxhhYvfEMuC2AKsuRfo0
Freestylers,Security (Ctrl Z Remix),breakbeat,134.989,0.544,0.938,0.524,7cyEaD5XgaAG7ZmjKmWS6G
Fusik,"Fusik for the Bboys, Pt. II",breakbeat,125.517,0.503,0.718,0.612,226Yan8AY9FB1r6EBeoxQo
Various Artists,Redshift,breakbeat,134.99,0.652,0.873,0.354,4SXR4YtRES15rwHJiovI6e
Jubei,Say Nothin - Extended Mix,breakbeat,172.049,0.749,0.789,0.347,2JtJOqT5Vw7ynW54RQGeMp
Various Artists,Mystic Brew,breakbeat,114.196,0.63,0.442,0.607,7jhHtBvrNNdVixB7EYO1aE
Colombo,Ska Punch - Original Mix,breakbeat,134.001,0.885,0.645,0.794,1MbarPuZfaWLUWtCpLDJ7p
Chase & Status,End Credits,breakbeat,116.73,0.327,0.813,0.0678,5AMxVSn63Yi3UCO2njlvvW
Bassnectar,Bass Head,breakbeat,84.984,0.764,0.678,0.0605,2EQhNdnP2LT96NnkkKkm0N
Def Cut,The Lord,breakbeat,117.97,0.811,0.721,0.744,2jeC2sJ3rNnlFNk4msSrjf
Moby,Voodoo Child,breakbeat,127.92,0.77,0.693,0.368,53mDTOjje0OugtASvTL61g
Technimatic,Night Vision,breakbeat,175.041,0.415,0.935,0.345,5gkVOhjqZlwyBwV8iDeQDj
RJD2,Ghostwriter,breakbeat,93.804,0.747,0.68,0.594,5Nn2Dj7OQsGL6pgQ9iIzPp
Elite Force,The Law of Life,breakbeat,132.006,0.722,0.92,0.0561,1c5dZ7jjvFOPoi8XkotLFk
Various Artists,Great Trip,breakbeat,127.038,0.696,0.915,0.693,5ys71c0npG2nE1gjUdSoPM
Various Artists,B.Boy Style,breakbeat,120.036,0.652,0.749,0.368,1FqiLEQNtK9jEvx9MOKyjo
Friction,Scatter,breakbeat,174.02,0.66,0.971,0.657,3lVuSz7sbT9y0xVzGPluXA
The Prodigy,Fire (Sunrise Version),breakbeat,140.031,0.748,0.697,0.96,4e081v84DUXLS7AceAD9c9
Plump DJs,In Stereo,breakbeat,135.921,0.731,0.918,0.941,6pAVNuMDl0SWzgVEvYT7Wn
