Name,Id,Artists,Artists_Id,Release,Duration,Genre,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valeance,Tempo
Peach,6M8qU2rDpeRQLE88DF2xtq,['BROODS'],['5r5Va4lVQ1zjEfbJSrmCsS'],2/1/19,255397,commercial,0.688,0.738,5,-4.831,0.0404,0.0085,3.54E-05,0.258,0.251,111.013
Open Your Eyes,2dMSYQzd13bAYfETJLXXDm,['School Of Seven Bells'],['1mBdei7fcRpbUEYHgsQN9H'],2/26/16,259780,commercial,0.612,0.632,8,-8.141,0.0228,0.174,0.018,0.11,0.138,92.988
Journal of Ardency,3vc0dm7NHZTProvlYlkhmh,['Class Actress'],['4nZbOHYEypqHtWwTPQu8Fl'],10/5/10,225233,commercial,0.683,0.694,1,-6.727,0.0336,0.0108,0.0928,0.0986,0.763,96.973
Black Out Days - Future Islands Remix,3kxkjirben9RVm9NqYa6rm,"['Phantogram', 'Future Islands']","['1l9d7B8W0IHy3LqWsxP2SH', '1WvvwcQx0tj6NdDhZZ2zZz']",9/1/17,248347,commercial,0.477,0.483,4,-9.413,0.0364,0.0027,0.783,0.156,0.123,170.026
My Delirium,1YhzlKAGZCgFmu3maqDQtl,['Ladyhawke'],['5TfnQ0Ai1cEbKY5katFK14'],4/10/09,254480,commercial,0.456,0.802,9,-4.025,0.0477,0.000697,0.000934,0.474,0.461,150.029
Daniel,5VvsZvy1mwx4teyvI7O9rs,['Bat For Lashes'],['6l77PmL5iuEEcYjGl8K6s7'],1/12/09,251120,commercial,0.593,0.658,8,-8.393,0.0364,0.0118,0.0204,0.137,0.422,135.053
Bitch,1CVQ8euBNROz7KDPeNqwWE,['Allie X'],['0wnYgCeP013HkKoOyC5V32'],12/4/15,207301,commercial,0.606,0.642,8,-5.339,0.0279,0.00575,0.478,0.102,0.0764,84.975
Young Blood,25nzKGDiua1lE9Qo5V19GL,['The Naked And Famous'],['0oeUpvxWsC8bWS6SnpU8b9'],1/1/10,246600,commercial,0.579,0.865,6,-4.692,0.0302,5.63E-05,0.000221,0.649,0.358,104.99
Copycat,5bR3i8ImaYD0cQG93be8B0,['The New Division'],['1Cb9Edoxp02mgY0VWVlwQo'],6/23/15,278236,commercial,0.532,0.892,0,-6.298,0.038,0.00805,0.3,0.0979,0.519,102.979
For the Sky,0CKURf8Hyl9kP0CZi9eBaR,"['HAERTS', 'Ed Droste']","['7pww8JMPMj1SxUfJ8wN5Kt', '0XF81i7F5hTlfNMHlTNptl']",5/21/21,259507,commercial,0.607,0.808,11,-6.55,0.054,0.124,0.0664,0.107,0.63,121.984
Everything Is Embarrassing,7j3nbSiaWphYU2cFgyQXd9,['Sky Ferreira'],['7pyhre5oEEFMqcgMEvJY7q'],1/1/13,250120,commercial,0.667,0.783,0,-5.885,0.0361,0.0606,1.17E-06,0.0418,0.564,117.145
California,42oRQ6pk3rrjKrYFAGcLhW,['CHVRCHES'],['3CjlHNtplJyTf9npxaPl5w'],8/27/21,248148,commercial,0.525,0.888,8,-5.74,0.0456,0.000462,0.137,0.231,0.424,101.009
Love Not Loving You,1VSsfA5Z37dSNPqiK5dxmM,['Foxes'],['7qRll6DYV06u2VuRPAVqug'],5/20/20,214225,commercial,0.638,0.951,10,-2.985,0.109,0.00321,0.000126,0.0629,0.487,121.049
Pretty Boy,0rJ2T1R5GuPYIj5J3BdInp,['Young Galaxy'],['5xfJLyvC5UElVSiMuLt1ss'],4/23/13,235840,commercial,0.564,0.948,6,-6.527,0.0377,0.0202,0.583,0.104,0.269,124.979
(Don't Fear) the Reaper,2VMfa4Z0rFH7Ns6hFkuOEI,['Keep Shelly In Athens'],['15cJEqQvfVczJK2DVdY6DV'],3/20/19,203000,commercial,0.56,0.548,0,-9.715,0.0236,0.282,0.0194,0.11,0.275,100
Hurricane,35aNHKBZWXXbL9KQK7O5Nk,['MS MR'],['4XaUmUGjidSklcDHxv3XWf'],5/10/13,226373,commercial,0.564,0.68,2,-6.487,0.0357,0.231,0.000179,0.247,0.262,89.938
Feed Me Diamonds - RAC Remix,0Ui2qWwIxOeDprmJftJmno,"['MNDR', 'RAC']","['7gQNLR8mykA1KjGClbPYHe', '4AGwPDdh1y8hochNzHy5HC']",12/17/12,250818,commercial,0.765,0.847,10,-5.058,0.0358,0.117,0.0106,0.109,0.551,117.001
Somebody Else,34i4yxPrHWquuR4kjiivFO,['VÉRITÉ'],['1Fr6agZ6iSM5Ynn2k4C8sc'],9/9/16,233077,commercial,0.674,0.593,11,-6.47,0.0582,0.201,0.000529,0.209,0.464,116.995
Black Sheep - Brie Larson Vocal Version,60TThBDrPpek5k520l0W0L,"['Metric', 'Brie Larson']","['1rCIEwPp5OnXW0ornlSsRl', '7g77hiv179GYIwhfCgETGy']",1/1/10,294066,commercial,0.462,0.599,11,-5.735,0.0375,0.000278,0.000441,0.0909,0.173,123.938
You're the One for Me - Digital Farm Animals Remix,5T2iobXGYEI9TdrJ4Du6QN,"['Great Good Fine Ok', 'Digital Farm Animals']","['422RLznpwUa5FsQgnTlgUH', '5fyDppLDl1juIu1BcUT5zh']",12/25/20,270000,commercial,0.7,0.573,3,-8.064,0.0358,0.243,0.729,0.202,0.241,107.009
Lay Your Cards Out,4Xztqz3yU9Pn1ctG8WKI14,['POLIÇA'],['34vLhockmYhf3LgznwyNaQ'],4/30/12,244427,commercial,0.442,0.751,9,-6.937,0.0472,0.00501,0.000435,0.608,0.206,79.991
Oblivion,4BY4V1T0RJK1HmD2Q0ClyK,['Grimes'],['053q0ukIDRgzwTr4vNSwab'],3/12/12,251267,commercial,0.697,0.529,2,-8.838,0.0338,0.115,0.896,0.0895,0.486,155.974
Summer Thing,5UbJD3lat3SVDDBXmf8gLc,"['Dragonette', 'Sunnery James & Ryan Marciano', 'Cat Dealers', 'Bruno Martini']","['4GLJPBj5Cdr9AgLKvLWM4n', '7kABWMhjA5GIl9PBEasBPt', '3q2dSq7VZnj8TmoJUyRm40', '5veVxxPm1vzgi6pO2iVA8L']",5/28/21,149487,commercial,0.768,0.649,0,-8.508,0.0304,0.107,0.0202,0.133,0.36,122.009
Skin,5ljlgxqZSqpoCDIlMF1ZjX,['Zola Jesus'],['78OKNrjc3BvniYTqvpOp6P'],10/4/11,261533,commercial,0.349,0.129,8,-17.115,0.0391,0.978,0.054,0.088,0.0776,119.785
Love Fade,24ZsdPJj8uwhCxo4uanFpG,['Tamaryn'],['3TdVTSmMfLh55VrJDUpIQ2'],1/1/10,220760,commercial,0.427,0.912,7,-4.594,0.0445,0.12,0.896,0.357,0.188,117.954
Young Hearts,1KKCDDDn11WpPVAKjhDnPZ,['Strange Talk'],['0trBqRcZ4lXqh8FERL5ZMa'],5/6/14,230665,commercial,0.59,0.83,1,-7.242,0.0319,0.000635,0.0946,0.11,0.354,150.005
Passion,3yydZof4pq6N4zeyTzLwQk,"['RAC', 'Louis The Child']","['4AGwPDdh1y8hochNzHy5HC', '7wg1qvie3KqDNQbAkTdbX0']",5/8/20,132747,commercial,0.777,0.721,0,-6.951,0.071,0.476,0.0512,0.27,0.88,106.956
You Want the Sun,5jJiLM2kRsGKG8zUWFIQgk,['Niki & The Dove'],['4hiLNlqr4vQdiuo1aQKSXS'],4/8/16,211547,commercial,0.908,0.675,5,-6.122,0.0507,0.169,0.0603,0.0541,0.781,120.071
Only Us,7x6cBmHXwdS1EGwVx4silu,['Paperwhite'],['2JSBQeazRlk0kVp2gelwbZ'],5/11/17,204000,commercial,0.398,0.73,1,-5.98,0.0671,0.00594,0.0257,0.0673,0.212,98.594
Stayin' Alive,4VRPmNDTHRKjc1i4MyY4uk,['Say Lou Lou'],['0flVPOQPuTboUwEtzPk6vj'],8/19/16,216733,commercial,0.497,0.772,6,-5.821,0.0781,0.00153,1.87E-06,0.203,0.609,88.188
Tommy,1h0020jJjt1Jw03H0tD931,['Ralph'],['1Ss8sy3C3XXQgxYRwjDln8'],4/14/21,170317,commercial,0.883,0.506,9,-5.615,0.0884,0.0992,1.74E-05,0.0999,0.756,122.039
Girls Your Age,3wchQBokK9IDtoYrw14gpK,['Transviolet'],['7ixzNQXQ64I2ayrtyhlF7i'],9/18/15,208053,commercial,0.427,0.398,0,-9.553,0.0536,0.453,0.00479,0.0903,0.114,139.249
I Love You Always Forever,2i3ziETyx5OGbBRD7Ud92p,['Betty Who'],['0t3QQl52F463sxGXb1ckhB'],3/24/17,223160,commercial,0.747,0.687,0,-6.102,0.0449,0.336,0,0.302,0.558,106.045
Winter Beats,6o6Dmd2gQW3BXzyzxMHnfz,['I Break Horses'],['1H58rS29XotmFJWT3KCnl0'],8/22/11,285080,commercial,0.247,0.722,9,-5.793,0.0565,0.00297,0.266,0.229,0.0305,159.991
Confetti,1JeLLdviGvhLvAXdz4QoX0,['Cold Cave'],['1ssulsHf3JrWakLxa8yFad'],4/4/11,337573,commercial,0.471,0.955,8,-2.669,0.0421,8.93E-05,0.856,0.0797,0.716,104.998
Fuzz,5V1QjzMOsM9JpRyPQzt1DD,['Computer Magic'],['6vhyWw7hIpvfIY9tE94mzP'],10/16/15,254587,commercial,0.598,0.806,7,-6.631,0.029,0.00329,0.233,0.618,0.716,120.994
Dreamers,6yOIdK2nKErlhyo5u7y81B,['Savoir Adore'],['2weMnYqCmtNUrSLAJq5dD8'],1/1/12,249261,commercial,0.603,0.892,3,-6.052,0.0319,0.0811,0.000179,0.0873,0.656,102.516
The Trip,6mxTH1ebYmEQyWAbSY1LeG,['Still Corners'],['4zKYrXs8iN4AeHmO8ZxNqp'],5/7/13,374240,commercial,0.697,0.736,11,-6.594,0.0384,0.167,0.00878,0.124,0.42,120
Hanging On,6o4lFpp8OAFhBqGQbWyAob,['Active Child'],['54KTsBl98buzGkELjGlnuU'],8/23/11,321453,commercial,0.572,0.535,8,-8.919,0.0284,0.284,0.0587,0.128,0.252,134.962
Good Ones,6PZpNMstpIiRenGK5UyG5D,['Charli XCX'],['25uiPmTg16RbhZWAqwLBy5'],9/2/21,136614,commercial,0.764,0.672,7,-5.947,0.0293,0.072,3.32E-06,0.0806,0.789,129.049
Closer,4dTVgHZFPlaq9nPbLVVLSG,['Tegan and Sara'],['5e1BZulIiYWPRm8yogwUYH'],1/1/13,209280,commercial,0.588,0.751,0,-7.588,0.0328,0.00174,6.57E-05,0.353,0.52,136.979
Northern Lights,3MBiP3tvOc4K91OGg3z5e8,['Kate Boy'],['6puqyrpoPdFNxDJ8KPy2pE'],11/6/15,215760,commercial,0.733,0.749,10,-7.097,0.0597,0.103,0.0291,0.0969,0.7,97.022
The Promise,3FtAtQhV3oiUcBvyJbKoUJ,['Mint Julep'],['60xrFrkTS0lvRRpbS1cpnr'],2/12/16,289040,commercial,0.522,0.851,9,-6.606,0.0403,0.0122,0.0506,0.107,0.0899,94.997
Dreaming,6cMswWRv4lAU3mh5lclgCc,['Smallpools'],['4iiQabGKtS2RtTKpVkrVTw'],3/24/15,216253,commercial,0.612,0.89,10,-2.827,0.047,0.000478,0,0.0672,0.886,118.989
Endtapes - Soundtrack Version,4ZJJht0LwcRMCRL0UBcybZ,['The Joy Formidable'],['4LdZNE5MHGqvc0N9ivXNF3'],11/4/11,249253,commercial,0.54,0.746,2,-6.05,0.0454,0.0218,0.15,0.122,0.219,140.006
Pulling Our Weight,6HhqiKpkJ37qa98TiuYla3,['The Radio Dept.'],['0utS63XytOEVN1EtzWhJpG'],1/25/11,201067,commercial,0.536,0.883,11,-4.37,0.0289,0.149,0.963,0.0601,0.962,143.978
Sweet Harmony,7BSKtGNffmKbDw316B0sFT,['Man Without Country'],['00b3RKsk2pv5VWSnYAKW8u'],1/19/15,327295,commercial,0.587,0.725,1,-5.308,0.0236,4.68E-05,0.794,0.177,0.194,101.221
Wonders,0EE8sKPzRr3pdvuqjFcwkE,['The Sound of Arrows'],['3Kt34aALAZu5GUd3WRqsrZ'],11/7/11,251493,commercial,0.443,0.802,7,-8.894,0.0744,0.0401,0.082,0.415,0.0968,116.028
Wolf & I,7fzkwV4lfFdaImzLLRarA3,['Oh Land'],['46CuxapoPjUfIOiXdNq7qM'],3/11/11,275440,commercial,0.417,0.382,10,-9.744,0.0363,0.204,0.0176,0.149,0.101,134.754
The Wire,7KdF7Zac5eC9jutk9Qret4,['HAIM'],['4Ui2kfOqGujY81UcPrb5KE'],1/1/13,245800,commercial,0.548,0.632,2,-5.569,0.145,0.0126,4.95E-06,0.0769,0.535,113.682
Do Right,6ioIEW1zoZKjSqE1FPXhOf,['Glades'],['14rP13jdQNgQvuPA2AkBgm'],11/2/18,195000,commercial,0.75,0.684,3,-6.428,0.0302,0.0526,0,0.0831,0.608,106.978
Los Ageless,2qTy3hGSbxoSenKmlKGHFw,['St. Vincent'],['7bcbShaqKdcyjnmv4Ix8j6'],10/13/17,281347,commercial,0.527,0.716,5,-6.029,0.0616,0.0698,8.71E-05,0.0737,0.331,99.426
Little Games,3Z8qysUNh2Rkee72WCZlrR,['The Colourist'],['0hK26QoGcuKV3lH0x9MvUU'],1/1/13,161973,commercial,0.572,0.801,10,-4.707,0.0446,0.000665,0.00132,0.192,0.633,110.496
Feeling Ok,0hgsUnkawqDllP4OF4g9MN,['Best Coast'],['5YkBrE0wF8cAlq3GCOw5Eu'],5/4/15,196160,commercial,0.438,0.913,9,-3.438,0.0558,0.000142,0.00393,0.145,0.21,118.963
Charcoal Baby,3bBmpVl9rQKJsFFGLFilIS,['Blood Orange'],['6LEeAFiJF8OuPx747e1wxR'],8/24/18,242341,commercial,0.622,0.46,7,-8.389,0.0372,0.14,0.000369,0.119,0.514,183.241
Young Adult Friction,1FsvfszJ09tqBcino2JfCb,['The Pains Of Being Pure At Heart'],['3zmmBJseZelpVEHj8S6Dek'],2/3/09,247947,commercial,0.458,0.696,11,-6.845,0.0397,3.65E-05,0.159,0.0363,0.857,163.057
Feeling Electric,2wHJj7r73uyiMjayyaoJGk,['Parade of Lights'],['5acfZKELBZRBvyhrC0kzG1'],6/2/15,221617,commercial,0.449,0.833,0,-4.626,0.0548,0.000387,0.000562,0.151,0.637,97.055
Last Forever,5VGJLWV6lROq3kxE0oP0t8,['Fenech-Soler'],['5GqAhBdaiG5StP2EHhmw8B'],9/29/13,293667,commercial,0.453,0.815,0,-5.234,0.0339,0.00659,0,0.269,0.221,171.015
Small Talk 2.0,2veZMnWHVUTI9dKZYbEGJb,"['Faded Paper Figures', 'Outflux']","['28CxmkDncu1V04LYxfx0eV', '1aZrHGcyFNnEEE79aRU4jT']",4/9/21,267097,commercial,0.628,0.787,9,-6.66,0.0333,0.00217,0.299,0.0658,0.109,123.992
Blue Monday,08aOcUt5qOBXZbZx6BsHdA,['HEALTH'],['6FfjnGXMhxSsJTuGLWBDth'],7/21/17,286347,commercial,0.642,0.677,2,-9.274,0.0325,0.000453,0.887,0.443,0.128,130.03
3 Strikes,1mZF9TEc7gpw7by7NCZSKr,['Terror Jr'],['5QatamYwvUTOmMHW6WA0AG'],10/21/16,175777,commercial,0.599,0.432,5,-6.097,0.0451,0.62,0.00773,0.105,0.615,106.824
Where the Kids Are,5VRn8LnjIk0EPwEc272WGI,['Blondfire'],['5ySYeIhqg4Rfs5tjteVMz3'],2/11/14,202200,commercial,0.61,0.814,11,-4.17,0.0253,0.0792,0,0.13,0.675,108.038
So Strange,2sooOQ37aCMej4F7xREIE3,['Superhumanoids'],['1Kq3QgOwTlgBo76HDA4TMH'],11/5/13,193093,commercial,0.694,0.6,9,-5.033,0.0398,0.0206,0.468,0.143,0.83,112.04
Habits (Stay High),18AJRdgUoO9EYn11N7xzaT,['Tove Lo'],['4NHQUGzhtTLFvgF5SZesLK'],9/24/14,209160,commercial,0.733,0.65,5,-3.539,0.0315,0.0703,6.59E-05,0.0829,0.348,110.003
Walking On Air,42bTIo0JrZEY9LcY3ZhUCO,['Kerli'],['4IFgewC2urR62Fwt7uAU03'],1/1/08,267040,commercial,0.611,0.719,8,-8.523,0.0777,0.14,0.000278,0.182,0.367,63.842
Elizabeth Taylor,4uYkkmsSIZSu935D0enBH8,['Clare Maguire'],['1iL8p9yzijWY1XnqVgHF5P'],5/27/16,267747,commercial,0.475,0.37,7,-5.696,0.0256,0.825,0.00251,0.122,0.209,103.236
"This Was My House (feat. Niki Haris, Donna De Lory & Initial Talk)",5iKCRVO0ymLpsDB5gpwMpD,"['Bright Light Bright Light', 'Initial Talk', 'Niki Haris', 'Donna De Lory']","['25bvQC4jyyFUce6jbzNlwb', '0YQmcNgfnoqxBMJ8dcw3Eh', '6AKDBd8dDnM715jeUivRm1', '14K72NEwk2RVuXTsqcBZNA']",9/18/20,201387,commercial,0.615,0.854,6,-6.998,0.0398,0.106,0.00129,0.0541,0.668,116.001
Dressed in Dresden,7xP4DYoV6Dreqmgaun4SZ0,['The Hundred In The Hands'],['1zFFPge0OhBC34dMGOrvcT'],2/16/10,215080,commercial,0.666,0.728,9,-4.625,0.088,0.00121,0.727,0.0966,0.78,153.999
Down Low,1yyGlziO3PROd7V5FCpFE6,['Alex Winston'],['3REwdws53wUuid8AatTTMh'],6/29/15,253427,commercial,0.575,0.563,11,-7.633,0.0552,0.205,0.00425,0.192,0.469,141.891
Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,['MARINA'],['6CwfuxIqcltXDGjfZsMd9A'],4/30/12,154667,commercial,0.495,0.856,0,-5.123,0.0311,0.000219,0,0.103,0.609,158.024
Wild,62tW8h5l2UrgqvdbhZaXL1,['Royal Teeth'],['1niOQVlqnlW8hFqKSlbx7p'],8/13/13,274227,commercial,0.562,0.925,8,-5.927,0.0493,0.000456,4.06E-05,0.108,0.766,112.004
Until We Bleed (feat. Lykke Li),2ARRUWucLhpPnODCdbsN4j,"['Kleerup', 'Lykke Li']","['2YL0l5fnyHE9FEf1bwFGCc', '6oBm8HB0yfrIc9IHbxs6in']",5/19/08,264040,commercial,0.645,0.756,9,-5.526,0.0635,0.307,0.234,0.0825,0.521,120.026
Into the Sun,4pICF8BvJFlqd9lmuBLuke,['Frankmusik'],['1Eqmku5RGosz51zTCZFgDi'],8/31/21,249158,commercial,0.545,0.806,2,-9.903,0.0614,0.00126,1.21E-05,0.226,0.384,179.934
I Am the Antichrist to You,3tnfHy341CDlAtcSmUtuOG,['Kishi Bashi'],['3LVPGE5jPPwtbGslx07YR0'],4/30/13,236246,commercial,0.329,0.265,3,-13.619,0.0429,0.748,0.0319,0.101,0.304,168.693
Fade Away,0IWBaEf7GOwKPKHyC32E1z,['Susanne Sundfør'],['54KCNI7URCrG6yjQK3Ukow'],2/16/15,198400,commercial,0.575,0.796,11,-5.792,0.0303,0.00181,0.207,0.14,0.638,99.982
Shark In The Water,0BLPuaA32HDg6AJTUT4WMl,['V V Brown'],['39ZHUueufhIdbW4yu9uODG'],1/1/09,184293,commercial,0.554,0.805,4,-3.128,0.0597,0.0279,0,0.359,0.697,98.981
Stop the Stars,7tjeTqLCGBL8ZaPNzGILb5,['Tiny Deaths'],['1S4NyIY5xn2nAtaapABH5Y'],9/21/18,216092,commercial,0.514,0.562,0,-8.89,0.0282,0.823,0.201,0.0807,0.127,99.986
Sometime Around Midnight,7Hn0bZgca6QFz6OyKkvAi6,['The Airborne Toxic Event'],['7xovAENFxmyEWhzbnHsB3Z'],1/1/09,303587,commercial,0.472,0.836,8,-5.167,0.0483,0.00229,0.00351,0.126,0.148,126.009
Hide and Seek,7mMlbJlXXo2mRtQ4R9sIzD,['Imogen Heap'],['6Xb4ezwoAQC4516kI89nWz'],7/18/05,268980,commercial,0.451,0.166,9,-11.125,0.0696,0.909,0,0.19,0.0901,121.123
Little Talks,2ihCaVdNZmnHZWt0fvAM7B,['Of Monsters and Men'],['4dwdTW1Lfiq0cM8nBAqIIz'],1/1/12,266600,commercial,0.457,0.757,1,-5.177,0.032,0.0206,0,0.146,0.417,102.961
Words I Don't Remember,69tms8bn7pYZck6hJw6X1e,['How To Dress Well'],['4jLcgJjDGmW0HmvbSf6lEI'],10/27/14,378253,commercial,0.533,0.213,3,-13.437,0.0342,0.849,0.565,0.449,0.207,80.004
Drone Bomb Me,6JZfK4Z75nZm3VcZOVrpy0,['ANOHNI'],['6VJZYivuYJGCrPuOAnI7Qo'],5/6/16,250978,commercial,0.33,0.478,6,-7.536,0.0376,0.177,0.000692,0.136,0.0615,89.595
Cut Your Teeth - Kygo Remix,1y4Kln6VEjQMpmHW7j9GeY,"['Kyla La Grange', 'Kygo']","['6KcmUwBzfwLaYxdfIboqcp', '23fqKkggKUBHNkbKtXEls4']",3/14/14,399013,commercial,0.674,0.678,10,-8.452,0.0406,0.59,0.222,0.051,0.465,99.985
Call Yourself a Lover,1mN4jJXTVcVGhaQ2fhW9ka,['Pr0files'],['1XXpL6SLSvHLe3odClQGKI'],2/23/16,224787,commercial,0.447,0.816,0,-5.843,0.0582,0.0487,0.00378,0.119,0.406,94.784
Dangerous (feat. Joywave),3y8AEUef1AVfr0npU5UOa9,"['Big Data', 'Joywave']","['4S1nvNHWiZLP4rzwmULmUa', '1UfzhwcOR4yfX7yHTPfC9m']",1/1/13,280427,commercial,0.757,0.578,0,-3.886,0.0386,0.011,0.00672,0.127,0.954,102.96
Internet Killed the Video Star,3bf87vxatBoY88DeYMdt6D,['The Limousines'],['2rKoD8HgdamRQpAtp4N4BA'],4/26/11,233227,commercial,0.636,0.9,9,-2.759,0.0323,0.00168,0,0.341,0.699,118.017
Dark Allies,10wVMrjddOESZe5qZ6ZYxM,['Light Asylum'],['2y98d6N81pArQNXYvkupr8'],1/1/11,361893,commercial,0.496,0.927,0,-6.014,0.04,0.0009,0.00472,0.638,0.144,140.081
Change,41FCZduFUjoymvDXb6ZviB,['Pale Waves'],['0wOej91SVqB1zcYkW6xUtA'],2/12/21,172280,commercial,0.598,0.906,7,-3.435,0.0447,0.00931,3.95E-05,0.16,0.525,97.007
Tilted,2ILilOGEh31uHITYFazrLM,['Christine and the Queens'],['04vj3iPUiVh5melWr0w3xT'],8/19/16,233247,commercial,0.872,0.361,7,-9.88,0.0609,0.283,0.00262,0.108,0.489,100.001
Overdose,0RDobfQ4AtlQ4EBKkiQkln,['Little Daylight'],['63aFY9yQyFDJtGkInMUris'],7/15/14,238834,commercial,0.559,0.897,0,-4.737,0.0678,0.00193,0.00818,0.207,0.757,89.992
Koka-Kola Veins,2qhIMaAaGQ0T6x79SBjmGM,['The Tough Alliance'],['4ps52NgTUPV9accMr5TMBw'],4/20/05,243867,commercial,0.712,0.645,11,-6.071,0.0749,0.0168,5.24E-06,0.0938,0.839,113
Alive,7dydldRnlwA7Xg8jhCFsYA,['Estiva'],['1ltDgA6tV4utKM6y1BOYIE'],6/22/18,227148,progressive house,0.475,0.992,8,-3.359,0.0541,0.00452,0.79,0.177,0.552,125.995
Future Story - Notaker Remix,4XsK73WbcSMTaM6IPFZDfe,"['Jaytech', 'Notaker']","['5mpJ1Z8BYEOG0rrdO4a2nG', '0I7HgbIetYEIweWq7nD6En']",8/24/16,325333,progressive house,0.594,0.516,7,-9.49,0.053,0.0425,0.701,0.136,0.176,90.022
Losing It,7jzcImgU2sCS2TuVyKvhCX,['Sunny Lax'],['0cCOt2mcZfspvOOhY8TdmD'],10/5/20,228293,progressive house,0.605,0.788,9,-5.858,0.0355,0.0229,0.0287,0.114,0.0448,122.993
Colours,22y2mqIBERBviZF0fa86iw,"['Mat Zo', 'Olan']","['2n7USVO8fO8FF8zq4kG2N1', '1gMMbPTZtOb9W3IBYl6twO']",9/9/20,268817,progressive house,0.628,0.814,1,-5.743,0.1,0.0277,2.34E-05,0.138,0.107,125.016
Beehive,4AlofiTiubDOvZ6aAifK5v,['Kyau & Albert'],['0pyi4vNCq5T6GgV1rt7ncc'],10/21/20,178355,progressive house,0.437,0.907,7,-5.282,0.0357,0.00099,0.898,0.403,0.1,123.937
Here,4Tbwob97FUjkaRg49YLWzh,"['Maor Levi', 'BT', 'Nation Of One']","['7iVuXpgNEl87BwdwV1L6he', '64MoFdq8ORI3V98AR5SPWL', '7E7pydpmvOsJja3GWdZYiw']",2/19/21,235673,progressive house,0.634,0.899,6,-4.622,0.0404,0.000205,0.111,0.34,0.0412,128.007
Numb,4pYetgD3nCixJrXCjywu78,"['Genix', 'LYCA']","['5WWUkLXiAbmGwtELcfvB2w', '4naWgrSAZPl2RsnTFdST4H']",9/10/21,264155,progressive house,0.582,0.878,2,-8.841,0.0448,0.00124,0.0723,0.607,0.0729,125.993
Falling Forward - Sultan + Shepard Remix,0dak7uypOBIUVGLqmaLtYU,"['Gabriel & Dresden', 'Sub Teal', 'Sultan + Shepard']","['64KfnYe81Wld2AkG4bkGIV', '3oqiDRfqAdXhjdGh4eY3hT', '14Tg9FvbNismPR1PJHxRau']",4/14/21,241240,progressive house,0.646,0.853,7,-7.239,0.0407,0.0117,0.0116,0.222,0.0364,121.002
Warehouse,2wER3gVMMIWPusxOjoWlcQ,['Oliver Smith'],['2Npo4Cfm48M2uKlvxiXMic'],1/8/20,246996,progressive house,0.554,0.8,0,-6.059,0.0299,0.00696,0.00467,0.0817,0.244,127.977
All That I Can,2EtwxAprswAqDZ3uRq8pr8,['ALPHA 9'],['6ckI88Ggj8DPe0TNAAVkjn'],5/15/20,217619,progressive house,0.511,0.982,9,-3.326,0.0315,0.00119,0.000511,0.342,0.906,126.001
To The Ground,2InrK5IWeTPIVRZQPOEDIO,['Matt Fax'],['1XgI1X3xjXCKRP1ZjhqgkV'],2/8/19,233440,progressive house,0.556,0.855,6,-8.916,0.0693,0.0137,0.323,0.202,0.0534,123.989
Settle,0PklkaNjPAdXdc5xPQwBfR,"['Dezza', ""Lauren L'aimant""]","['3p7y4jD6cIfONGyx6xaFik', '2M2QzPADSybcVig2CBTcFJ']",3/19/21,252000,progressive house,0.579,0.716,0,-7.64,0.0309,0.113,0.219,0.145,0.133,122.023
The Whiteroom,64AwAe6HpIEGFjy0KoGsmH,"['Andy Moor', 'Adam White', 'Whiteroom']","['0Fn4agIyGMwQsKHrx1i8Dn', '3OYcRF1SOf0sR3NRsgMI3R', '1JerCKWsimcVvghLc1Kwib']",3/22/21,233849,progressive house,0.467,0.941,1,-6.992,0.0359,0.00276,0.886,0.453,0.172,134.968
Open End Resource - Leaving Laurel Remix,1sPXaNS4HwQl4BXlXMT4Hc,"['Andrew Bayer', 'Alison May', 'Leaving Laurel']","['5dFuu05x8SPBuymudrTBU8', '6jd3NCxzDeLS4wAO168T60', '2Tz2klWNZNGyvOMr8gT98t']",2/24/20,219240,progressive house,0.612,0.66,2,-8.24,0.0328,0.227,0.0906,0.214,0.0673,125.02
Dark Magic,1Qspmjbb9Cj44JFUuyzGF3,['PROFF'],['3jAosRBCdrybxqTnrI4Sld'],2/12/21,257705,progressive house,0.778,0.909,7,-5.091,0.051,0.00402,0.903,0.207,0.222,122.012
Cold Summer - Sean Darin Remix,2evXDtD2q2faHAiESi9LyH,"['Myon', 'ICON', 'Sean Darin']","['0nTbVTXLLbBA4xCtn0cFkv', '7kkr4SkM1wOcU2sGZ9hY5f', '2OsKEXpTPXQuHEPzIIr0vU']",2/21/20,177945,progressive house,0.539,0.757,7,-5.461,0.0401,0.421,0,0.0908,0.398,145.955
Captivated,3pNnSLPQUHxUrLMoiMNN6d,"['LTN', 'Ghostbeat', 'Nina Carr']","['2IK99qf3aYxFWkgCkc7kQ3', '6HM5cyDWiTq4ijhdsaRZiS', '776UugG4CdQlYfsEUVCRqb']",1/8/21,187119,progressive house,0.737,0.741,7,-6.638,0.0302,0.118,0.504,0.148,0.212,117.99
Live For Tonight,6ubzP72gvwiVsPYaLbARsO,"['Super8 & Tab', 'Jess Ball']","['3WGxBKuYawiVOmCwR8FIUC', '5HjbKQXMhybveoJOsOXS07']",5/1/20,196992,progressive house,0.559,0.912,7,-5.929,0.0529,0.00813,0.0895,0.422,0.415,128.021
