Name,Id,Artists,Artists_Id,Release,Duration,Genre,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valeance,Tempo
Reload - Radio Edit,5jyUBKpmaH670zrXrE0wmO,"['Sebastian Ingrosso', 'Tommy Trash', 'John Martin']","['6hyMWrxGBsOx6sWcVj1DqP', '1tBU8jUEdVR3mqSsAqEGfD', '2auikkNYqigWStoHWK1Grq']",1/1/13,221273,edm,0.485,0.724,9,-4.633,0.0521,0.0736,0,0.0631,0.433,128.045
Treasured Soul - Radio Edit,2gpytjWqJVE3LICibhEUaK,['Michael Calfan'],['4CuipEvwcoQggmCV8jpKF9'],2/18/15,177600,edm,0.623,0.833,4,-2.951,0.0557,0.0191,0.0174,0.331,0.411,124.973
New Vibe Who Dis (feat. Little League),3TjE3A8tLih7KBwKJ03Htl,"['Madison Mars', 'Little League']","['4gJCFxvqKc43Ifk0UIBB42', '1Su706KJL5OFFqpbaTmw25']",8/23/19,191500,edm,0.699,0.933,10,-3.504,0.175,0.16,5.62E-06,0.196,0.646,123.91
Kids (feat. MKLA),3rgTS3933lMWoPiN6CW4qY,"['KSHMR', 'Stefy De Cicco', 'MKLA']","['2wX6xSig4Rig5kZU6ePlWe', '5v3JgLiZtNnw6ablRjjNKK', '57Vnemieu10x71jR2UWc4o']",8/14/20,184687,edm,0.744,0.866,9,-4.834,0.106,0.0107,0.0537,0.528,0.302,128.027
Hero (feat. Christina Perri),5g1BARk25uUJtEPSUwcjnU,"['Cash Cash', 'Christina Perri']","['1LOB7jTeEV14pHai6EXSzF', '7H55rcKCfwqkyDFH9wpKM6']",6/24/16,197840,edm,0.47,0.85,1,-2.825,0.0363,0.0627,0,0.118,0.148,149.876
In My Head (On My Mind),6PxXA3bO8ktyaLHUHx1QQ4,['MOTi'],['1vo8zHmO1KzkuU9Xxh6J7W'],4/2/21,153443,edm,0.733,0.682,6,-6.201,0.0907,0.101,2.14E-06,0.167,0.479,122.097
Feels Like Summer,3WkDoMgqtbQ34vToj64QcT,['Sander van Doorn'],['22bukBZvUppuwQwmDz75Gz'],9/25/20,178222,edm,0.564,0.89,0,-6.06,0.245,0.00395,0.000556,0.134,0.077,135.114
She Wants Me Dead,5fbSIKNisMBlP1tXxjziJb,"['CAZZETTE', 'AronChupa', 'The High']","['1IELhvOMg5VQlU7syRm6CS', '5vCOdeiQt9LyzdI87kt5Sh', '5mKNjpx3SmjNqtxQTmuo9Z']",5/13/16,203510,edm,0.703,0.837,9,-4.933,0.234,0.0186,0.000161,0.0576,0.68,106.051
Nevada,02shCNmb6IvgB5jLqKjtkK,"['Vicetone', 'Cozi Zuehlsdorff']","['0daugAjUgbJSqdlyYNwIbT', '5wMfct6VVvaVQ8xGCXxIUa']",6/24/16,208562,edm,0.605,0.783,3,-4.271,0.0324,0.299,0.000175,0.133,0.105,124.015
Alive,59mrqUmhpmcfUns8BKkV30,['Krewella'],['0Cd6nHYwecCNM1sVEXKlYr'],9/20/13,288880,edm,0.671,0.828,9,-2.907,0.053,0.00304,0.00287,0.352,0.57,127.976
Bella Ciao,1geovaCdfs5fSa4NNgFPVe,"['Hardwell', 'Maddix']","['6BrvowZBreEkXzJQMpL174', '0RMeG9M8QFzss9bAbq99KA']",8/17/18,203769,edm,0.616,0.892,4,-4.688,0.0462,0.00214,0.000186,0.227,0.235,129.991
The Longest Road - deadmau5 Remix Edit,77w8cBOdasP7aNcPD9Dec8,"['Morgan Page', 'Lissie', 'deadmau5']","['1N9n8MSxrr4Emhb566493b', '3j4FHbC5zwmYGJ7r0ZgaMt', '2CIMQHirSU0MQqyYHq0eOx']",12/21/18,239213,edm,0.699,0.737,1,-6.724,0.0368,0.00385,0.000471,0.0392,0.543,124.981
Without You,1HPJpgceRg6KPO11nMhWlt,"['Mike Williams', 'Felix Jaehn', 'Jordan Shaw']","['3IpvVrP3VLhruTmnququq7', '4bL2B6hmLlMWnUEZnorEtG', '6Z8vLeI1ZMj2kzTNWVOBXr']",5/12/21,151000,edm,0.701,0.866,11,-4.589,0.0838,0.0243,0,0.17,0.327,124.008
Colorblind (feat. Dayseeker),45CwQAnBujkKzbDKX5wJmv,"['Adventure Club', 'Nurko', 'Dayseeker']","['5CdJjUi9f0cVgo9nFuJrFa', '757FXqX0Osk2pqtgv4E5v4', '5FjQVp1Lb0kltmwIuu5kfj']",8/13/21,199286,edm,0.492,0.57,5,-5.123,0.032,0.169,0,0.271,0.266,140.037
Show Me Love - Radio Edit,2WIwmd809qDTOn4UJgDnNi,"['Steve Angello', 'Laidback Luke', 'Robin S']","['4FqPRilb0Ja0TKG3RS3y4s', '53cQZtWDwDJwVCNZlfJ6Qk', '2WvLeseDGPX1slhmxI59G3']",3/24/09,184846,edm,0.654,0.856,5,-4.197,0.0586,0.517,0,0.128,0.574,129.928
